Model,Action Mask,Reward Shaping,Eval Base Reward,Eval Total Reward,Eval Success Rate (%),Training Final Reward (Last 100),Training Final Success (%) (Last 100),Training Time (s),Total Env Safety Violations,Total Env Constraint Violations
1. Vanilla DQN,False,False,1326.04,1326.04,100.0,717.23,100.0,189.5,305,238
2. DQN + Shaping,False,True,-9109.09,-8841.21,80.0,-5902.60,92.0,348.1,506,610
3. DQN + Action Masking,True,False,1288.85,1288.85,100.0,869.40,98.0,166.4,109,0
4. Complete Agent,True,True,1290.00,1303.87,100.0,892.98,98.0,168.0,122,0
