Model,Action Mask,Safety Mechanism,Constraint Check,Final Reward,Success Rate (%),Training Time (s),Agent Mask Work,Agent Safety Work,Env Safety Violations,Env Constraint Violations
Vanilla DQN,False,False,False,319.59,100.0,3.0,0,0,0,462
DQN with Action Masking,True,False,False,527.15,98.0,31.6,226705,0,95,5
DQN with Safety Mechanism,False,True,False,-2796.76,67.0,11.1,267835,0,220,5
DQN with Constraint Checking,False,False,True,-2796.76,67.0,11.3,267835,0,220,5
Complete Intelligent Agent,True,True,True,527.15,98.0,38.5,226705,0,95,5
