Model,Action Mask,Safety Mechanism,Constraint Check,Final Reward,Success Rate (%),Training Time (s),Agent Mask Work,Agent Safety Work,Env Safety Violations,Env Constraint Violations
Model 1: Vanilla DQN,False,False,False,24728.24,98.0,39.1,0,0,416,343
Model 2: DQN + Action Masking,True,False,False,779.92,100.0,14.4,98730,0,74,0
Model 3: DQN + Safety Mechanism,False,True,False,248.77,97.0,5.1,126745,0,135,0
Model 4: DQN + Constraint Checking,False,False,True,248.77,97.0,5.2,126745,0,135,0
Model 5: Complete Intelligent Agent,True,True,True,779.92,100.0,17.8,98730,0,74,0
