Model,Action Mask,Safety Mechanism,Constraint Check,Final Reward,Success Rate (%),Training Time (s),Agent Mask Work,Agent Safety Work,Env Safety Violations,Env Constraint Violations
Vanilla DQN,False,False,False,0.00,100.0,3.6,0,0,40,1
DQN with Action Masking,True,False,False,540.08,98.0,32.5,217585,0,80,0
DQN with Safety Mechanism,False,True,False,19849.69,100.0,140.7,68520,55231,115,0
DQN with Constraint Checking,False,False,True,-0.93,100.0,11.2,161,0,49,1
Complete Intelligent Agent,True,True,True,540.08,98.0,38.8,217585,0,80,0
