Model,Action Mask,Safety Mechanism,Constraint Check,Reward Shaping,Final Reward,Success Rate (%),Training Time (s),Agent Mask Work,Agent Safety Work,Env Safety Violations,Env Constraint Violations
1. Vanilla DQN,False,False,False,False,-3536.28,91.0,77.6,0,0,248,189
2. Vanilla + Shaping,False,False,False,True,-1201.54,95.0,65.0,0,0,192,117
3. DQN + Action Masking,True,False,False,False,759.82,100.0,32.3,252390,0,83,0
4. Complete w/o Shaping,True,True,True,False,759.82,100.0,43.5,252390,0,83,0
5. Complete Agent (All On),True,True,True,True,795.46,100.0,46.1,272765,0,94,0
