Model,Action Mask,Safety Mechanism,Constraint Check,Reward Shaping,Final Reward,Success Rate (%),Training Time (s),Agent Mask Work,Agent Safety Work,Env Safety Violations,Env Constraint Violations
1. Vanilla DQN,False,False,False,False,-25.26,98.0,8.3,0,0,78,3
2. Vanilla + Shaping,False,False,False,True,-161.18,99.0,10.1,0,0,87,8
3. DQN + Action Masking,True,False,False,False,325.47,100.0,9.4,30705,0,65,0
4. Complete w/o Shaping,True,True,True,False,325.47,100.0,12.4,30705,0,65,0
5. Complete Agent (All On),True,True,True,True,356.51,100.0,12.8,37265,0,72,0
