environment,algorithm_1,algorithm_2,mean_1,mean_2,t_statistic,p_value,significant
config_5.json,dqn_full,dqn_vanilla,-2793.649975320129,-9182.104388495747,2.6124157877304244,0.059269373149214793,False
config_5.json,dqn_full,random,-2793.649975320129,-4030.9512503115516,0.48646420315020417,0.6520886508625374,False
config_5.json,dqn_vanilla,random,-9182.104388495747,-4030.9512503115516,-7.351449652983289,0.001823471276419744,True
