Model,Action Mask,Reward Shaping,Eval Base Reward,Eval Total Reward,Eval Success Rate (%),Training Final Reward (Last 100),Training Final Success (%) (Last 100),Training Time (s),Total Env Safety Violations,Total Env Constraint Violations
1. Vanilla DQN,False,False,666.61,666.61,100.0,653.03,100.0,74.2,64,9
2. DQN + Shaping,False,True,-2398.95,-2279.14,100.0,-3505.34,83.0,156.2,261,140
3. DQN + Action Masking,True,False,646.22,646.22,100.0,466.54,98.0,58.5,119,0
4. Complete Agent,True,True,638.94,644.84,100.0,449.19,98.0,58.2,118,0
