environment,algorithm_1,algorithm_2,mean_1,mean_2,t_statistic,p_value,significant
config_5.json,dqn_full,dqn_vanilla,-2793.649975320129,-9182.104388495747,2.6124157877304244,0.059269373149214793,False
config_5.json,dqn_full,greedy,-2793.649975320129,-7576.704520080152,1.9560756311282186,0.12210296070170758,False
config_5.json,dqn_full,random,-2793.649975320129,-4038.4795364554907,0.4893076618371006,0.650243009537927,False
config_5.json,dqn_vanilla,greedy,-9182.104388495747,-7576.704520080152,-52.1010610140646,8.122676115210145e-07,True
config_5.json,dqn_vanilla,random,-9182.104388495747,-4038.4795364554907,-7.317800980381358,0.001855271546784753,True
config_5.json,greedy,random,-7576.704520080152,-4038.4795364554907,-5.038558887089861,0.007289452436631457,True
